Bi-directional Contextual Attention for 3D Dense Captioning,Minjung Kim*; Hyung Suk Lim; Soonyoung Lee; Bumsoo Kim*; Gunhee Kim*
Expanding Scene Graph Boundaries: Fully Open-vocabulary Scene Graph Generation via Visual-Concept Alignment and Retention,Zuyao Chen; Jinlin Wu; Zhen Lei; Zhaoxiang Zhang; Chang Wen Chen*
ABC Easy as 123: A Blind Counter for Exemplar-Free Multi-Class Class-agnostic Counting,Michael A Hobley*; Victor Adrian Prisacariu
Towards Scene Graph Anticipation,Rohith Peddi*; Saksham Singh; Saurabh .; Parag Singla; Vibhav Gogate
OP-Align: Object-level and Part-level Alignment for Self-supervised Category-level Articulated Object Pose Estimation,Yuchen Che*; Ryo Furukawa; Asako Kanezaki
PDiscoFormer: Relaxing Part Discovery Constraints with Vision Transformers,Ananthu Aniraj*; Cassio  F. Dantas; Dino Ienco; Diego Marcos
H-V2X: A Large Scale Highway Dataset for BEV Perception,Chang Liu*; MingXu zhu; Cong Ma
RealGen: Retrieval Augmented Generation for Controllable Traffic Scenarios,Wenhao Ding*; Yulong Cao; DING ZHAO; Chaowei Xiao; Marco Pavone
DriveLM: Driving with Graph Visual Question Answering,Chonghao Sima*; Katrin Renz; Kashyap Chitta; Li Chen; Zhang Hanxue; Chengen Xie; Jens Beißwenger; Ping Luo; Andreas Geiger; Hongyang Li
Making Large Language Models Better Planners with Reasoning-Decision Alignment,Zhijian Huang; Tao Tang; Shaoxiang Chen; Sihao Lin; Zequn Jie; Lin Ma; Guangrun Wang; Xiaodan Liang*
M^2Depth: Self-supervised Two-Frame Multi-camera Metric Depth Estimation,Yingshuang Zou*; Yikang Ding; Xi Qiu; Haoqian Wang*; Haotian Zhang*
MapTracker: Tracking with Strided Memory Fusion for Consistent Vector HD Mapping,Jiacheng Chen*; Yuefan Wu; Jiaqi Tan; Hang Ma; Yasutaka Furukawa*
Adaptive Bounding Box Uncertainties via Two-Step Conformal Prediction,Alexander Timans*; Christoph-Nikolas Straehle; Kaspar Sakmann; Eric Nalisnick
A Simple Low-bit Quantization Framework for Video Snapshot Compressive Imaging,Miao Cao*; Lishun Wang; Huan Wang; Xin Yuan
Photon Inhibition for Energy-Efficient Single-Photon Imaging,Lucas J Koerner*; Shantanu Gupta; Atul N Ingle; Mohit Gupta
Latent Diffusion Prior Enhanced Deep Unfolding for Snapshot Spectral Compressive Imaging,Zongliang Wu*; Ruiying Lu; Ying Fu; Xin Yuan
Minimalist Vision with Freeform Pixels,Jeremy Klotz*; Shree Nayar
"SEA-RAFT: Simple, Efficient, Accurate RAFT for Optical Flow",Yihan Wang*; Lahav O Lipson; Jia Deng
Integer-Valued Training and Spike-driven Inference Spiking Neural Network for High-performance and Energy-efficient Object Detection,Xinhao Luo; Man Yao; Yuhong Chou; Bo Xu; Guoqi Li*
OmniNOCS: A unified NOCS dataset and model for 3D lifting of 2D objects,Akshay Krishnan*; Abhijit Kundu*; Kevis-Kokitsi Maninis; James Hays; Matthew Brown
UniTalker: Scaling up Audio-Driven 3D Facial Animation through A Unified Model,Xiangyu Fan*; Jiaqi Li; Zhiqian Lin; Weiye Xiao; Lei Yang*
Topo4D: Topology-Preserving Gaussian Splatting for High-Fidelity 4D Head Capture,Xuanchen Li; Yuhao Cheng; Xingyu Ren; Haozhe Jia; Di Xu; Wenhan Zhu; Yichao Yan*
HeadStudio: Text to Animatable Head Avatars with 3D Gaussian Splatting,Zhenglin Zhou*; Fan Ma; Hehe Fan; Zongxin Yang; Yi Yang
MagicMirror: Fast and High-Quality Avatar Generation with Constrained Search Space,Armand Comas; Di Qiu*; Menglei Chai; Marcel C. Bühler; Amit Raj; Ruiqi Gao; Qiangeng Xu; Mark J Matthews; Paulo Gotardo; Sergio Orts-Escolano; Thabo Beeler
Personalized Video Relighting With an At-Home Light Stage,Jun Myeong Choi*; Max Christman; Roni Sengupta
Fast Context-Based Low-Light Image Enhancement via Neural Implicit Representations,Tomáš Chobola*; Yu Liu; Hanyi Zhang; Julia A Schnabel; Tingying Peng*
Panel-Specific Degradation Representation for Raw Under-Display Camera Image Restoration,Youngjin Oh*; Keuntek Lee; Jooyoung Lee; Dae-Hyun Lee; Nam Ik Cho
HoloADMM: High-Quality Holographic Complex Field Recovery,Mazen Mel*; Paul Springer; Pietro Zanuttigh; Haitao Zhou; Alexander Gatto
Flying with Photons: Rendering Novel Views of Propagating Light,Anagh Malik*; Noah Juravsky; Ryan Po; Gordon Wetzstein; Kiriakos N. Kutulakos; David B. Lindell
Efficient Depth-Guided Urban View Synthesis,sheng miao*; Jiaxin Huang; Dongfeng Bai; Weichao Qiu; Liu Bingbing; Andreas Geiger; Yiyi Liao
Ray-Distance Volume Rendering for Neural Scene Reconstruction,Ruihong Yin*; Yunlu Chen; Sezer Karaoglu; Theo Gevers
Taming Latent Diffusion Model for Neural Radiance Field Inpainting,Chieh Hubert Lin*; Changil Kim; Jia-Bin Huang; Qinbo Li; Chih-Yao Ma; Johannes Kopf; Ming-Hsuan Yang; Hung-Yu Tseng
Learning Unsigned Distance Functions from Multi-view Images with Volume Rendering Priors,Wenyuan Zhang; Kanle Shi; Yu-Shen Liu*; Zhizhong Han
GMT: Enhancing Generalizable Neural Rendering via Geometry-Driven Multi-Reference Texture Transfer,Youngho Yoon; Hyun-Kurl Jang; Kuk-Jin Yoon*
MaRINeR: Enhancing Novel Views by Matching Rendered Images with Nearby References,Lukas Bösiger*; Mihai Dusmanu; Marc Pollefeys; Zuria Bauer
UNIKD: UNcertainty-Filtered Incremental Knowledge Distillation for Neural Implicit Representation,Mengqi Guo*; Chen Li; Hanlin Chen; Gim Hee Lee
Rethinking Directional Parameterization in Neural Implicit Surface Reconstruction,Zijie Jiang*; Tianhan Xu*; Hiroharu Kato
Sur^2f: A Hybrid Representation for High-Quality and Efficient Surface Reconstruction from Multi-view Images,Zhangjin Huang*; Zhihao Liang; Kui Jia*
